v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
85.2,,Jun-12,Jun-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.1,,Jul-12,Jul-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.1,,Jul-12,Jul-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.1,,Aug-12,Aug-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.2,,Aug-12,Aug-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
85.6,,Sep-12,Sep-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.5,,Sep-12,Sep-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-0.9,,Oct-12,Oct-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.9,,Oct-12,Oct-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.5,,Nov-12,Nov-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.5,,Nov-12,Nov-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
84.8,,Dec-12,Dec-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.4,,Dec-12,Dec-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
